Time,Track,Instrument,Beat,Octave,Note,Duration,"Force (%)"
5760,5,,118,5,"Do #",Half,78
5761,2,,118,5,La,Sixteenth,78
5762,2,,118,4,"Do #",Whole,81
5817,5,,118,5,Re,Half,78
5879,2,,118,5,"Re #",Sixteenth,79
5880,2,,118,4,Re,Whole,81
5883,5,,118,5,La,Half,81
5937,5,,118,5,Re,Half,79
5952,3,,111,4,La,Whole,83
5999,5,,118,6,Mi,Half,81
6002,2,,118,5,"Re #",Half,80
6061,2,,118,4,"Do #",Half,78
6062,5,,118,5,Re,Half,81
6122,2,,118,5,"Re #",Sixteenth,78
6122,2,,118,4,Re,Half,79
6122,5,,118,6,Re,Half,80
6144,3,,111,5,"Do #",Whole,83
6178,2,,118,5,"Re #",Sixteenth,80
6179,5,,118,5,Re,Half,77
6180,2,,118,4,"Do #",Half,78
6239,2,,118,5,La,Sixteenth,78
6239,5,,118,5,Sol,Half,79
6240,2,,118,4,"Do #",Whole,77
6240,3,,118,4,Re,Whole,80
6240,4,,118,5,La,Sixteenth,77
6242,4,,118,6,Re,Sixteenth,80
6242,4,,118,5,Re,Whole,77
6300,5,,118,5,Sol,Half,78
6336,3,,111,5,Sol,Whole,84
6359,2,,118,4,Re,Sixteenth,77
6362,2,,118,5,"Re #",Whole,80
6363,5,,118,6,"Do #",Half,77
6418,5,,118,5,Sol,Half,80
6481,2,,118,5,"Re #",Half,81
6482,5,,118,5,Sol,Half,80
6528,3,,111,6,Re,Whole,84
6539,5,,118,6,"Do #",Half,79
6542,2,,118,4,"Do #",Half,80
6600,5,,118,5,Mi,Half,79
6602,2,,118,4,Re,Sixteenth,80
6602,2,,118,5,"Re #",Half,77
6659,2,,118,4,"Do #",Sixteenth,79
6660,5,,118,5,Re,Half,80
6661,2,,118,5,"Re #",Half,80
6718,4,,118,5,"Fa #",Sixteenth,80
6719,2,,118,5,La,Sixteenth,81
6719,2,,118,4,"Do #",Whole,78
6719,3,,118,3,"La #",Whole,79
6720,3,,111,4,Si,Whole,86
6720,4,,118,5,"La #",Sixteenth,81
6721,5,,118,5,"Do #",Half,80
6723,4,,118,4,"La #",Whole,80
6781,5,,118,5,Re,Half,78
6838,2,,118,5,"Re #",Sixteenth,80
6842,2,,118,4,Re,Whole,80
6843,5,,118,5,La,Half,80
6902,5,,118,5,Re,Half,81
6912,3,,111,5,Sol,Whole,87
6959,2,,118,5,"Re #",Half,81
6959,5,,118,6,Mi,Half,78
7018,2,,118,4,"Do #",Quarter,81
7023,5,,118,5,Re,Half,80
7051,2,,118,4,"Do #",Quarter,65
7078,2,,118,4,Re,Sixteenth,80
7078,2,,118,5,"Re #",Half,78
7084,5,,118,6,Re,Half,78
7104,3,,111,6,Re,Whole,88
7139,2,,118,4,"Do #",Sixteenth,80
7142,2,,118,5,"Re #",Half,77
7142,5,,118,5,Re,Half,79
7197,4,,118,6,Re,Sixteenth,77
7199,2,,118,4,"Do #",Sixteenth,80
7199,3,,118,4,Re,Whole,79
7199,5,,118,5,Sol,Half,80
7200,2,,118,5,La,Whole,80
7200,4,,118,5,Re,Sixteenth,77
7202,4,,118,5,La,Whole,80
7261,5,,118,5,Sol,Half,80
7296,3,,111,4,Sol,Whole,90
7321,2,,118,4,Re,Sixteenth,79
7322,2,,118,5,"Re #",Whole,81
7322,5,,118,6,"Do #",Half,78
7379,5,,118,5,Sol,Half,80
7441,2,,118,5,"Re #",Half,77
7442,5,,118,5,Sol,Half,79
7488,3,,111,6,Re,Whole,88
7500,2,,118,4,"Do #",Half,79
7500,5,,118,6,"Do #",Half,80
7558,5,,118,5,Mi,Half,80
7559,2,,118,4,Re,Sixteenth,77
7561,2,,118,5,"Re #",Half,80
7618,5,,118,5,Re,Half,81
7620,2,,118,4,"Do #",Sixteenth,78
7620,2,,118,5,"Re #",Half,78
7677,5,,118,5,"Do #",Half,78
7680,2,,111,4,Re,Whole,100
7680,3,,111,5,Re,Whole,84
7680,3,,118,3,"La #",Whole,80
7680,4,,118,5,"Fa #",Sixteenth,79
7680,4,,118,4,"La #",Sixteenth,80
7680,9,,111,5,Sol,Whole,46
7681,2,,118,4,"Do #",Sixteenth,78
7681,4,,118,5,"La #",Whole,81
7682,2,,118,5,La,Whole,78
7742,5,,118,5,Re,Half,80
7798,5,,118,5,La,Half,79
7857,5,,118,5,Re,Half,80
7872,3,,111,6,Re,Whole,84
7917,5,,118,6,Mi,Half,79
7978,5,,118,5,Re,Half,77
8042,5,,118,6,Re,Half,80
8064,3,,111,5,La,Whole,84
