Time,Track,Instrument,Beat,Octave,Note,Frequency,Duration,"Force (%)"
6239,2,,118,5,La,440,Sixteenth,78
6239,5,,118,5,Sol,392,Half,79
6240,2,,118,4,Do#,138.59,Whole,77
6240,3,,118,4,Re,146.83,Whole,80
6240,4,,118,5,La,440,Sixteenth,77
6242,4,,118,6,Re,587.33,Sixteenth,80
6242,4,,118,5,Re,293.66,Whole,77
6300,5,,118,5,Sol,392,Half,78
6359,2,,118,4,Re,146.83,Sixteenth,77
6362,2,,118,5,Re#,311.13,Whole,80
6363,5,,118,6,Do#,554.37,Half,77
6418,5,,118,5,Sol,392,Half,80
6481,2,,118,5,Re#,311.13,Half,81
6482,5,,118,5,Sol,392,Half,80
6539,5,,118,6,Do#,554.37,Half,79
6542,2,,118,4,Do#,138.59,Half,80
6600,5,,118,5,Mi,329.63,Half,79
6602,2,,118,4,Re,146.83,Sixteenth,80
6602,2,,118,5,Re#,311.13,Half,77
6659,2,,118,4,Do#,138.59,Sixteenth,79
6660,5,,118,5,Re,293.66,Half,80
6661,2,,118,5,Re#,311.13,Half,80
6718,4,,118,5,Fa#,369.99,Sixteenth,80
6719,2,,118,5,La,440,Sixteenth,81
6719,2,,118,4,Do#,138.59,Whole,78
6719,3,,118,3,La#,116.54,Whole,79
6720,4,,118,5,La#,466.16,Sixteenth,81
6721,5,,118,5,Do#,277.18,Half,80
6723,4,,118,4,La#,233.08,Whole,80
6781,5,,118,5,Re,293.66,Half,78
6838,2,,118,5,Re#,311.13,Sixteenth,80
6842,2,,118,4,Re,146.83,Whole,80
6843,5,,118,5,La,440,Half,80
6902,5,,118,5,Re,293.66,Half,81
6959,2,,118,5,Re#,311.13,Half,81
6959,5,,118,6,Mi,659.25,Half,78
7018,2,,118,4,Do#,138.59,Quarter,81
7023,5,,118,5,Re,293.66,Half,80
7051,2,,118,4,Do#,138.59,Quarter,65
7078,2,,118,4,Re,146.83,Sixteenth,80
7078,2,,118,5,Re#,311.13,Half,78
7084,5,,118,6,Re,587.33,Half,78
7139,2,,118,4,Do#,138.59,Sixteenth,80
7142,2,,118,5,Re#,311.13,Half,77
7142,5,,118,5,Re,293.66,Half,79
7197,4,,118,6,Re,587.33,Sixteenth,77
7199,2,,118,4,Do#,138.59,Sixteenth,80
7199,3,,118,4,Re,146.83,Whole,79
7199,5,,118,5,Sol,392,Half,80
7200,2,,118,5,La,440,Whole,80
7200,4,,118,5,Re,293.66,Sixteenth,77
7202,4,,118,5,La,440,Whole,80
7261,5,,118,5,Sol,392,Half,80
7321,2,,118,4,Re,146.83,Sixteenth,79
7322,2,,118,5,Re#,311.13,Whole,81
7322,5,,118,6,Do#,554.37,Half,78
7379,5,,118,5,Sol,392,Half,80
7441,2,,118,5,Re#,311.13,Half,77
7442,5,,118,5,Sol,392,Half,79
7500,2,,118,4,Do#,138.59,Half,79
7500,5,,118,6,Do#,554.37,Half,80
7558,5,,118,5,Mi,329.63,Half,80
7559,2,,118,4,Re,146.83,Sixteenth,77
7561,2,,118,5,Re#,311.13,Half,80
7618,5,,118,5,Re,293.66,Half,81
7620,2,,118,4,Do#,138.59,Sixteenth,78
7620,2,,118,5,Re#,311.13,Half,78
7677,5,,118,5,Do#,277.18,Half,78
7680,3,,118,3,La#,116.54,Whole,80
7680,4,,118,5,Fa#,369.99,Sixteenth,79
7680,4,,118,4,La#,233.08,Sixteenth,80
7681,2,,118,4,Do#,138.59,Sixteenth,78
7681,4,,118,5,La#,466.16,Whole,81
7682,2,,118,5,La,440,Whole,78
7742,5,,118,5,Re,293.66,Half,80
7798,5,,118,5,La,440,Half,79
7857,5,,118,5,Re,293.66,Half,80
7917,5,,118,6,Mi,659.25,Half,79
7978,5,,118,5,Re,293.66,Half,77
8042,5,,118,6,Re,587.33,Half,80
8101,5,,118,5,Re,293.66,Half,78
8157,5,,118,5,La,440,Half,80
8221,5,,118,5,Re,293.66,Half,77
8280,5,,118,6,Mi,659.25,Half,78
8341,5,,118,5,Re,293.66,Half,80
8401,5,,118,6,Re,587.33,Half,79
8461,5,,118,5,Re,293.66,Half,79
8521,5,,118,5,La,440,Whole,80
8638,2,,118,4,Sol,196,Whole,81
8639,4,,118,5,Re,293.66,Sixteenth,77
8640,3,,118,4,Re,146.83,Whole,80
8641,4,,118,5,La,440,Sixteenth,81
8642,5,,118,5,Re,293.66,Whole,78
8643,4,,118,6,Re,587.33,Whole,81
8760,2,,118,4,Sol,196,Half,80
8819,2,,118,4,Sol,196,Half,77
8881,2,,118,4,Sol,196,Whole,79
9001,2,,118,4,Sol,196,Whole,77
9120,2,,118,4,Sol,196,Half,81
9179,2,,118,4,Sol,196,Half,38
9238,2,,118,4,Sol,196,Whole,80
9359,2,,118,4,Sol,196,Whole,81
9480,2,,118,4,Sol,196,Half,80
9542,2,,118,4,Sol,196,Half,81
9598,3,,118,4,Re,146.83,Whole,80
9600,2,,118,4,Do#,138.59,Sixteenth,79
9602,2,,118,4,Sol,196,Half,79
9661,2,,118,4,Sol,196,Half,44
9719,2,,118,4,Sol,196,Half,80
9720,6,,118,6,Fa#,739.99,Whole,62
9778,2,,118,4,Sol,196,Half,46
9841,2,,118,4,Sol,196,Half,81
9843,6,,118,6,Fa#,739.99,Whole,62
9900,2,,118,4,Sol,196,Half,43
9958,2,,118,4,Sol,196,Half,77
10020,2,,118,4,Sol,196,Sixteenth,45
10021,2,,118,4,Do#,138.59,Half,77
10078,2,,118,4,Do#,138.59,Sixteenth,80
10079,3,,118,3,La#,116.54,Whole,81
10082,2,,118,4,Sol,196,Half,79
10138,2,,118,4,Sol,196,Half,46
10197,6,,118,6,Fa#,739.99,Whole,64
10202,2,,118,4,Sol,196,Half,80
10261,2,,118,4,Sol,196,Half,43
10319,2,,118,4,Sol,196,Half,79
10321,6,,118,6,Fa#,739.99,Whole,61
10380,2,,118,4,Sol,196,Half,44
10438,2,,118,4,Sol,196,Half,80
10501,2,,118,4,Sol,196,Sixteenth,46
10502,2,,118,4,Do#,138.59,Half,77
10558,2,,118,4,Do#,138.59,Sixteenth,77
10558,3,,118,4,Fa#,185,Whole,78
10562,2,,118,4,Sol,196,Half,79
10622,2,,118,4,Sol,196,Half,43
10680,2,,118,4,Sol,196,Half,78
10683,6,,118,6,La,880,Whole,61
10738,2,,118,4,Sol,196,Half,46
10798,2,,118,4,Sol,196,Half,81
10800,6,,118,6,La,880,Whole,61
10862,2,,118,4,Sol,196,Half,43
10920,2,,118,4,Sol,196,Half,78
10978,2,,118,4,Sol,196,Half,45
11040,2,,118,4,Do#,138.59,Sixteenth,79
11040,3,,118,4,Do#,138.59,Whole,80
11041,2,,118,4,Sol,196,Half,81
11100,2,,118,4,Sol,196,Half,44
11159,2,,118,4,Sol,196,Half,79
11160,6,,118,6,Sol,783.99,Whole,65
11220,2,,118,4,Sol,196,Half,44
11281,2,,118,4,Sol,196,Half,79
11282,6,,118,6,Sol,783.99,Whole,64
11341,2,,118,4,Sol,196,Half,45
11401,2,,118,4,Sol,196,Half,81
11458,2,,118,4,Sol,196,Sixteenth,44
11460,2,,118,4,Do#,138.59,Half,79
11518,3,,118,3,Sol,98,Whole,81
11519,2,,118,4,Do#,138.59,Sixteenth,81
11522,2,,118,4,Sol,196,Half,80
11577,5,,118,5,Sol,392,Half,81
11578,2,,118,4,Sol,196,Half,44
11639,5,,118,6,Re,587.33,Half,80
11639,6,,118,6,La#,932.33,Whole,65
11640,2,,118,4,Sol,196,Half,80
11700,5,,118,5,La,440,Half,80
11701,2,,118,4,Sol,196,Half,46
11759,5,,118,6,Re,587.33,Half,79
11759,6,,118,6,La#,932.33,Whole,65
11760,2,,118,4,Sol,196,Half,77
11818,2,,118,4,Sol,196,Half,43
11821,5,,118,6,Do#,554.37,Half,78
11882,2,,118,4,Sol,196,Half,78
11883,5,,118,5,Sol,392,Half,79
11940,2,,118,4,Sol,196,Sixteenth,43
11941,5,,118,6,Re,587.33,Half,78
11942,2,,118,4,Do#,138.59,Half,78
11999,2,,118,4,Do#,138.59,Sixteenth,79
11999,5,,118,5,Re#,311.13,Half,79
12000,2,,118,4,Sol,196,Half,80
12002,3,,118,4,Re#,155.56,Whole,80
12058,5,,118,5,La#,466.16,Half,77
12059,2,,118,4,Sol,196,Half,43
12120,6,,118,6,La#,932.33,Whole,63
12122,2,,118,4,Sol,196,Half,77
12122,5,,118,6,Fa#,739.99,Half,78
12179,2,,118,4,Sol,196,Half,45
12183,5,,118,5,Re#,311.13,Half,79
12239,6,,118,6,La#,932.33,Whole,62
12240,2,,118,4,Sol,196,Half,77
12242,5,,118,6,Fa#,739.99,Half,81
12299,2,,118,4,Do#,138.59,Sixteenth,78
12299,5,,118,6,Re#,622.25,Half,77
12302,2,,118,4,Sol,196,Half,46
12359,2,,118,4,Sol,196,Half,79
12363,5,,118,5,La#,466.16,Half,81
12420,2,,118,4,Sol,196,Sixteenth,46
12421,2,,118,4,Do#,138.59,Half,78
12421,5,,118,5,Re#,311.13,Half,77
12478,2,,118,4,Do#,138.59,Sixteenth,77
12479,3,,118,3,La#,116.54,Whole,81
12481,2,,118,4,Sol,196,Half,80
12483,5,,118,4,La#,233.08,Half,80
12539,5,,118,5,Fa#,369.99,Half,81
12542,2,,118,4,Sol,196,Half,43
12598,6,,118,7,Re,1174.66,Whole,64
12599,2,,118,4,Sol,196,Half,77
12599,5,,118,6,Do#,554.37,Half,79
12658,5,,118,4,La#,233.08,Half,80
12660,2,,118,4,Sol,196,Half,45
12717,5,,118,6,Do#,554.37,Half,81
12722,2,,118,4,Sol,196,Half,80
12722,6,,118,7,Re,1174.66,Whole,65
12778,2,,118,4,Sol,196,Half,43
12779,5,,118,5,La#,466.16,Half,81
12837,5,,118,5,Fa#,369.99,Half,81
12842,2,,118,4,Sol,196,Half,81
12898,2,,118,4,Sol,196,Sixteenth,44
12899,5,,118,6,Do#,554.37,Half,78
12900,2,,118,4,Do#,138.59,Half,81
12958,2,,118,4,Do#,138.59,Sixteenth,80
12958,3,,118,4,Re,146.83,Whole,78
12960,2,,118,4,La#,233.08,Whole,78
12961,5,,118,5,Re,293.66,Whole,69
13078,3,,118,4,Re,146.83,Half,81
13081,2,,118,4,Re,146.83,Sixteenth,31
